,A,w,df,f1,f2,f3,f4,f5,Aq1,Aq2,Aq3,Aq4,Aq5
35,0.1,0.7000044091571898,5.1693210893163215,1.10999778,0.999998,0.21999956,0.8899982200000001,0.32999934000000003,0.07007618680380971,0.03793209214375585,0.035548428587505815,0.0349404654503794,0.03231885029080635
36,0.1,2.3333480305239656,5.1693210893163215,1.10999778,0.73999852,0.36999926,,,0.5339379423541128,0.1184219736907897,0.053462893921132945,,
37,0.1,3.966691651890741,5.1693210893163215,1.25999748,0.62999874,1.11999776,,,0.17661954684816908,0.08500351830278208,0.0215015651821436,,
38,0.1,5.600035273257517,5.1693210893163215,0.8899982200000001,1.7799964400000001,1.12999774,,,0.15725933274211107,0.02239747748609578,0.015919900677764182,,
39,0.1,7.233378894624293,5.1693210893163215,1.1499977000000001,,,,,0.5835186016687275,,,,
40,0.1,8.86672251599107,5.1693210893163215,1.40999718,1.12999774,,,,0.0994034132010195,0.011683863683238843,,,
41,0.1,10.500066137357845,5.1693210893163215,1.66999666,1.13999772,,,,0.042998805159654596,0.006694594622434072,,,
42,0.1,0.7000044091571898,6.183185307179587,1.10999778,0.999998,0.8899982200000001,0.7799984400000001,0.66999866,0.04731160609408369,0.016254453740366492,0.013421540014645765,0.01208263259552471,0.010489065441391216
43,0.1,2.3333480305239656,6.183185307179587,1.10999778,,,,,0.1387227163198735,,,,
44,0.1,3.966691651890741,6.183185307179587,1.25999748,0.62999874,1.12999774,,,0.02040066732258724,0.008073535965454874,0.0023386635990946354,,
45,0.1,5.600035273257517,6.183185307179587,0.8899982200000001,1.7799964400000001,1.12999774,,,0.014981003728267007,0.0025223780336835165,0.0015789736957026292,,
46,0.1,7.233378894624293,6.183185307179587,1.1499977000000001,,,,,0.10636762074902568,,,,
47,0.1,8.86672251599107,6.183185307179587,1.40999718,1.13999772,,,,0.00943892947648127,0.001084179483581048,,,
48,0.1,10.500066137357845,6.183185307179587,1.66999666,1.13999772,,,,0.004071446431585941,0.0006083697490824756,,,
49,0.15,0.7000044091571898,0.1,1.10999778,0.999998,0.8899982200000001,0.7799984400000001,0.66999866,0.053942866564827045,0.022219098578480066,0.019859999091579126,0.01839667997828783,0.015986227611219855
50,0.15,2.3333480305239656,0.1,1.10999778,,,,,0.20433960082958066,,,,
51,0.15,3.966691651890741,0.1,1.25999748,0.62999874,1.13999772,,,0.031818114303058496,0.012343333245365283,0.0035172702101426844,,
52,0.15,5.600035273257517,0.1,0.8899982200000001,1.7799964400000001,,,,0.02211372470348704,0.0037910773272544517,,,
53,0.15,7.233378894624293,0.1,1.1499977000000001,,,,,0.18245206160430458,,,,
54,0.15,8.86672251599107,0.1,1.40999718,1.13999772,,,,0.014682010518564645,0.002355021262739205,,,
55,0.15,10.500066137357845,0.1,1.66999666,1.1499977000000001,,,,0.00624017653295867,0.0016741129639787002,,,
56,0.15,0.7000044091571898,1.1138642178632645,1.10999778,0.21999956,0.999998,0.8899982200000001,0.32999934000000003,0.08310871619965193,0.054116663517578184,0.05201875880000406,0.050987338239448295,0.04662522822810822
57,0.15,2.3333480305239656,1.1138642178632645,1.10999778,0.73999852,0.36999926,,,0.607616981525562,0.18001173659383268,0.08392087103046504,,
58,0.15,3.966691651890741,1.1138642178632645,1.25999748,0.62999874,1.10999778,,,0.26282344355170545,0.13014071602622368,0.03531181350450957,,
59,0.15,5.600035273257517,1.1138642178632645,0.8899982200000001,1.7799964400000001,,,,0.23098182797595235,0.03343700682040453,,,
60,0.15,7.233378894624293,1.1138642178632645,1.1499977000000001,1.0499979,,,,0.7141291666506449,0.0795504379500631,,,
